City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Owando,CG,70.56,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
294,Belmonte,BR,73.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
299,Mangrol,IN,84.74,few clouds,21.1167,70.1167,Hotel The Royal Honours
302,Burriana,ES,74.7,clear sky,39.889,-0.085,Hotel Beatriz
303,Sorong,ID,80.22,light rain,-0.8833,131.25,waigo splash hotel
305,Pasighat,IN,81.18,overcast clouds,28.0667,95.3333,Siang Guest House
312,Luang Prabang,LA,75.16,overcast clouds,19.8856,102.1347,Villa Oasis
313,Katsuura,JP,74.1,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
317,Tateyama,JP,74.14,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
321,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
322,Bima,ID,87.21,overcast clouds,-8.4667,118.7167,Lambitu Hotel
323,Cabo San Lucas,MX,85.3,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
324,Gizo,SB,83.07,light rain,-8.103,156.8419,Imagination Island
328,Broome,US,73.98,clear sky,42.2506,-75.833,Chenango Valley State Park
331,Sao Felix Do Xingu,BR,74.88,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
332,Kyaikkami,MM,77.38,moderate rain,16.08,97.5675,Happy Family Kyaikkami
334,Bubaque,GW,76.62,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
335,Kindersley,CA,80.38,scattered clouds,51.4668,-109.1682,Kindersley Inn
339,Laramie,US,80.98,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
340,Biak,ID,77.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
342,Idenao,CM,76.44,broken clouds,4.2475,9.0047,Moland Beach Resort
346,Bengkulu,ID,81.32,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
347,Soyo,AO,74.48,broken clouds,-6.1349,12.3689,Hotel Mpampa
348,Kimbe,PG,90.68,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
349,Brookhaven,US,75.24,few clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
351,Cururupu,BR,73.33,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
353,Irbil,IQ,77.92,clear sky,36.1926,44.0106,Erbil International Hotel
357,Lompoc,US,77.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
359,San Jose,US,81.28,few clouds,37.3394,-121.895,The Westin San Jose
365,Pacific Grove,US,81.0,clear sky,36.6177,-121.9166,Lovers Point Inn
370,Cedar Rapids,US,85.5,clear sky,42.0083,-91.6441,DoubleTree by Hilton Hotel Cedar Rapids Convention Complex
371,Fatehpur,IN,82.67,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
373,Axim,GH,78.94,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
374,Harper,LR,78.67,broken clouds,4.375,-7.7169,Screensaver
379,Tamiahua,MX,77.14,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
380,Arawa,PG,85.59,light rain,-6.2132,155.5367,Coastline Guest House
382,Tabou,CI,78.44,light rain,4.423,-7.3528,hotêl doufoulougou
383,Catania,IT,71.51,clear sky,37.5021,15.0872,Il Principe Hotel
387,Grande Prairie,CA,73.58,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
389,Weinan,CN,78.49,light rain,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
390,Kudahuvadhoo,MV,82.81,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
391,Auki,SB,83.64,overcast clouds,-8.7676,160.7034,Auki Motel
396,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
398,Sandpoint,US,87.62,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
399,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
401,Lethem,GY,77.7,overcast clouds,3.3803,-59.7968,Savannah Inn
402,Anito,PH,86.97,few clouds,12.4497,125.2886,The Yellow House
403,Namibe,AO,70.72,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
408,La Romana,DO,80.33,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
409,Manaure,CO,81.12,clear sky,11.7751,-72.4445,Hotel Palaaima
410,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
411,Bac Lieu,VN,85.35,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
412,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
416,Totness,SR,77.32,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
417,Palauig,PH,82.6,overcast clouds,15.435,119.9045,Myhousebythesea
418,Cangzhou,CN,80.56,light rain,38.3167,116.8667,Jinji Express Hotel
419,Posse,BR,73.13,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
421,Mana,GF,77.47,overcast clouds,5.6592,-53.7767,LE SAMANA
422,Yazman,PK,90.97,clear sky,29.1212,71.7446,Jamal sons showroom
423,Turbat,PK,82.6,broken clouds,26.0023,63.044,Mubashar Quarters
428,Bud,US,80.69,clear sky,39.447,-86.1758,Ted McQuinn Trust
433,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
435,Port Blair,IN,83.14,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
438,Nabire,ID,85.48,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
439,Pascagoula,US,75.56,light rain,30.3658,-88.5561,Regency Inn
443,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
444,Itarema,BR,78.04,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
445,Bryant,US,85.66,clear sky,34.5959,-92.4891,La Quinta Inn & Suites by Wyndham Little Rock - Bryant
446,Kirkwood,US,83.79,clear sky,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
447,Catuday,PH,82.4,overcast clouds,16.2923,119.8062,GResort
448,Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
450,Chirongui,YT,76.93,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
451,Cairns,AU,84.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
452,Le Port,RE,71.56,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
458,Pochutla,MX,81.45,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
463,Yanji,CN,80.55,broken clouds,42.9075,129.5078,Holiday Inn Changbaishan Suites
469,Wasilla,US,70.48,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
471,Shiyan,CN,82.67,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
473,Alvaraes,BR,73.81,light rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
474,Barcelona,ES,81.32,clear sky,41.3888,2.159,Axel Hotel Barcelona
475,Wucheng,CN,87.84,overcast clouds,29.6008,118.175,Xiuwu Restaurant
476,Aswan,EG,87.35,few clouds,24.0934,32.907,Nuba Nile
477,Englewood,US,88.57,broken clouds,39.6478,-104.9878,Holiday Motel
481,Lazaro Cardenas,MX,79.68,overcast clouds,17.9583,-102.2,quinta antigua
482,Kinkala,CG,71.91,few clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
484,Sao Filipe,CV,75.2,broken clouds,14.8961,-24.4956,Hotel Xaguate
486,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
487,Nuevo Laredo,MX,94.98,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
491,Sabha,LY,76.66,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
492,Palmer,US,72.21,few clouds,42.1584,-72.3287,Wedgewood Motel
493,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
494,Yaounde,CM,71.13,scattered clouds,3.8667,11.5167,Hotel Mérina
496,Guiberoua,CI,72.68,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHE
497,Port Dickson,MY,82.51,clear sky,2.5228,101.7959,Glory Beach Resort
500,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
501,Isangel,VU,79.23,few clouds,-19.55,169.2667,Tanna Lodge
502,Wanning,CN,86.2,overcast clouds,18.8003,110.3967,Paradise Hotel
504,Qui Nhon,VN,86.0,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
505,Tomatlan,MX,79.88,overcast clouds,19.9333,-105.25,El Salvial
509,Dawei,MM,80.29,light rain,14.0833,98.2,Hotel Dawei
510,Nenjiang,CN,79.23,overcast clouds,49.1833,125.2167,Nenjiang Apartment
512,Kamaishi,JP,79.75,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
514,Lashio,MM,74.86,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
515,Venkatagiri,IN,86.47,overcast clouds,13.9667,79.5833,Akhilesh house
519,Jalu,LY,70.9,clear sky,29.0331,21.5482,صاحبة الفخامة
522,Padang,ID,84.25,few clouds,-0.9492,100.3543,Mercure Padang
524,Nova Olinda Do Norte,BR,78.01,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
527,Daru,PG,83.32,scattered clouds,-9.0763,143.2092,Daru Lodge
528,Maebaru,JP,87.94,broken clouds,33.55,130.2,Guest house Kotonoha
532,Jinchang,CN,70.7,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
535,Waddan,LY,70.56,clear sky,29.1614,16.139,محل الشريف محمد العايب
537,Budhlada,IN,89.94,clear sky,29.9333,75.5667,Sips and Bytes-Best Restaurants in Budhlada/Best Hotels in Budhlada
538,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
539,Simcoe,CA,73.49,clear sky,42.8334,-80.2997,Travelodge by Wyndham Simcoe
541,Sylvan Lake,CA,81.72,few clouds,52.3168,-114.0853,Best Western Plus Chateau Inn Sylvan Lake
544,Key West,US,82.99,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
546,Santa Isabel Do Rio Negro,BR,73.18,overcast clouds,-0.4139,-65.0192,Hotel GSA
548,Namatanai,PG,85.28,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
550,Caborca,MX,96.49,clear sky,30.5838,-111.101,Hotel Los Lagos
551,Mareeba,AU,79.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
558,Hadejia,NG,86.97,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
560,Atar,MR,95.2,few clouds,20.5169,-13.0499,Oumou Elghoura
561,Eyl,SO,78.75,overcast clouds,7.9803,49.8164,Amiin Hotel
567,Sabak,MY,78.85,scattered clouds,3.7675,100.9875,Homestay Nur Kasih Inap Desa
569,Yakeshi,CN,76.5,overcast clouds,49.2833,120.7333,Longhua Hotel
570,Wad Rawah,SD,81.03,overcast clouds,15.1603,33.1397,ود الترابي
571,Diffa,NE,86.76,scattered clouds,13.3154,12.6113,ProDAF/Diffa
572,Barreirinha,BR,78.35,light rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
573,Olinda,BR,73.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
